,symbol,Z,A,energy_level_keV,half_life_s,spin,magnetic_dipole_moment_J_T,electric_quadrupole_moment_Cm2
4562,Hg,80,185,0.0,27.0,-6.5,-5.136647021883e-27,3.2043529740000006e-48
4564,Hg,80,187,0.0,144.0,-6.5,-5.273018181756001e-27,8.010882435e-48
4566,Hg,80,187,0.0,114.0,-1.5,-3.000165517206e-27,-1.20163236525e-47
4569,Hg,80,188,0.0,1.35e-07,12.0,-1.020258307198e-26,1.45798060317e-47
4571,Hg,80,189,0.0,456.0,-1.5,-3.0739069592114003e-27,-1.2817411896000002e-47
4574,Hg,80,189,0.0,516.0,-6.5,-5.343729153542e-27,1.0574364814200001e-47
4577,Hg,80,190,0.0,2.1000000000000003e-08,12.0,-1.26269592475e-26,1.8745464897899999e-47
4579,Hg,80,191,0.0,2940.0,-1.5,-3.121384325982e-27,-1.2817411896000002e-47
4582,Hg,80,191,0.0,3048.0,-6.5,-5.394236990532e-27,9.613058921999999e-48
4585,Hg,80,193,0.0,13680.0,-1.5,-3.1698718494924003e-27,-1.1215235409e-47
4588,Hg,80,193,0.0,42480.0,-6.5,-5.34590099053257e-27,1.47400236804e-47
4603,Hg,80,195,0.0,149760.0,-6.5,-5.276286038809253e-27,1.73035060596e-47
4613,Hg,80,197,0.0,8.1e-09,-2.5,4.318420062645e-27,-1.29776295447e-48
4616,Hg,80,197,0.0,85680.0,-6.5,-5.1906095949231165e-27,2.0027206087499999e-47
4621,Hg,80,198,0.0,2.2999999999999998e-11,2.0,3.5355485893e-27,1.0894800111600001e-47
4635,Hg,80,199,0.0,2.4500000000000004e-09,-2.5,3.0304702194e-27,1.5220676626499999e-47
4641,Hg,80,199,0.0,6.9e-11,-1.5,-2.3738683385299998e-27,9.933494219399999e-48
4645,Hg,80,199,0.0,2556.0,-6.5,-5.125045371726397e-27,1.9226117843999997e-47
4652,Hg,80,200,0.0,4.66e-11,2.0,4.0406269592e-27,1.53808942752e-47
4659,Hg,80,201,0.0,inf,-1.5,-2.829580348555974e-27,6.20042300469e-48
4670,Hg,80,202,0.0,2.73e-11,2.0,5.050783699e-27,1.3938935436899999e-47
4674,Hg,80,203,0.0,4043519.9999999995,-2.5,4.28786282126605e-27,5.511487115279999e-48
4678,Hg,80,204,0.0,4.02e-11,2.0,4.0406269592e-27,6.408705948000001e-48
4683,Hg,80,206,0.0,2.15 s,-5.0,2.7526771159550004e-26,1.18561060038e-47
4684,Hg,80,206,0.0,2.15 s,-5.0,2.7526771159550004e-26,1.04141471655e-47
4693,Tl,81,187,0.0,15.6,-4.5,1.914247021921e-26,-3.8932888634100006e-47
4695,Tl,81,188,0.0,71.0,7.0,2.4395285266169998e-27,2.0668076682300002e-48
4698,Tl,81,189,0.0,84.0,-4.5,1.9586939184722e-26,-3.66898415523e-47
4700,Tl,81,190,0.0,156.0,-2.0,1.282899059546e-27,-5.2711606422300004e-48
4703,Tl,81,190,0.0,222.0,7.0,2.500137931005e-27,4.56620298795e-48
4708,Tl,81,191,0.0,312.0,-4.5,1.9713208777197002e-26,-3.57285356601e-47
4711,Tl,81,192,0.0,576.0,-2.0,1.0101567398e-27,-5.2551388773600003e-48
4714,Tl,81,192,0.0,648.0,7.0,2.616305956082e-27,7.3700118402e-48
4716,Tl,81,192,0.0,2.96e-07,-8.0,8.38430094034e-27,7.0495765428e-48
4720,Tl,81,193,0.0,126.6,-4.5,1.9940494043652e-26,-3.5247882714000004e-47
4723,Tl,81,194,0.0,2040.0,-2.0,7.071097178600001e-28,-4.5181376933399996e-48
4726,Tl,81,194,0.0,1967.9999999999998,7.0,2.72742319746e-27,9.72521127609e-48
4733,Tl,81,196,0.0,6624.0,-2.0,3.5355485893000003e-28,-2.85187414686e-48
