nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
,,,,,,,,-0.0644(7) a,R
,,,,,,,,-0.06493(2) st,
,,,,,,,,-0.068(10),
17 Cl 38,,0,37.3 m,,2-,2.05(2),,,
17 Cl 44,,0,0.56 s,,(2-),-0.2749(2),,,
18 Ar 33,,0,0.174 s,,1/2+,-0.723(6),,,
18 Ar 35,,0,1.78s,,3/2+,+0.6322(2),,,
,,,,,,+0.633(7),,,
,,,,,,+0.633(2),,,
,,,,,,,,-0.084(15),R
18 Ar 36,,1970,0.45 ps,,2+,+1.0(4),,,
,,,0.28 ps,,,,,+0.11(6),R
18 Ar 37,,0,35.0 d,,3/2+,+1.145(5),,,
,,,,,,,,+0.076(9),R
,,1611,4.6 ns,,7/2-,-1.33(5),,,
18 Ar 38,,2167,0.49 ps,,2+,+0.5(2),,,
,,3937,0.03 ps,,2+,+2.2(22),,,
18 Ar 39,,0,269 y,,7/2-,-1.588(15),,,
,,,,,,-1.3(3),,,
,,,,,,,,-0.12(2),
,,,,,,,,-0.12(3),R
18 Ar 40,,1461,1.12 ps,,2+,-0.04(6),,,
,,,,,,-0.03(8),,,
,,,,,,-0.2(2),,,
,,,,,,,,+0.01(4),R
18 Ar 41,,0,1.82 h,,7/2-,-1.309(8),,,
,,,,,,,,-0.042(4),R
18 Ar 43,,0,5.37 m,,5/2-,-1.021(6),,,
,,,,,,,,+0.142(14),R
19 K 35,,0,178 ms,,3/2+,0.392(7),,,
,,,,,,+0.36(3),,,
19 K 36,,0,0.34 s,,2+,+0.548(1),,,
19 K 37,,0,1.23 s,,3/2+,+0.20321(6),,,
,,,,,,,,+0.106(4),R
,,1379,10.5 ns,,"5/2,7/2-",g = +1.5(1),,,
19 K 38,,0,7.61 m,,3+,+1.371(6),,,
,,3458,22.1 s,,7+,+3.836(14),,,
19 K 39,,0,stable,,3/2+,+0.39147(3),,,
,,,,,,+0.3914662(3),,,
,,,,,,+0.39150731(12),,,
,,,,,,,,+0.0585(6) a,R
,,,,,,,,+0.060(2) a,
,,,,,,,,+0.049(4) st,
,,2814,48 ps,,7/2-,4.0(4),,,
,,3598,37 ps,,9/2-,2.4(2),,,
,,8030,14 ps,,19/2-,+3.3(3),,,
19 K 40,,0,1.3x10*9y,,4-,-1.298100(3),,,
,,,,,,-1.2982(4),,,
,,,,,,,,-0.073(1) a,R
,,,,,,,,-0.075(2) a,
