nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
,,,,,,,,+1.11(11),R
47 Ag 107,,0,stable,,1/2-,-0.11357(2),,,
,,,,,,-0.11367965(15),,,
,,93,44.3 s,,7/2+,+4.398(5),,,
,,,,,,,,0.98(11),R
,,325,5.0 ps,,3/2-,+0.9(2),,,
,,,,,,+0.94(14),,,
,,,,,,+1.05(14),,,
,,423,40.2 ps,,5/2-,+1.0(2),,,
,,,,,,+0.93(15),,,
,,,,,,+1.13(15),,,
47 Ag 108,,0,2.4 m,,1+,2.6884(7),,,
,,110,418 y,,6+,3.58(2),,,
,,,,,,,,+1.32(7),R
,,215,46 ns,,3+,+3.888(15),,,
47 Ag 109,,0,stable,,1/2-,0.13056(2),,,
,,,,,,-0.1306906(2),,,
,,88,39.8 s,,7/2+,+4.400(6),,,
,,,,,,,,+1.02(12),R
,,311,5.9 ps,,3/2-,+0.99(15),,,
,,,,,,+1.2(2),,,
,,,,,,+1.2(2),,,
,,,,,,,,-0.7(3),R
,,415,35 ps,,5/2-,+0.73(15),,,
,,,,,,+0.90(13),,,
,,,,,,+0.90(15),,,
,,,,,,,,-0.3(3),R
47 Ag 110,,0,24.4 s,,1+,2.7271(8),,,
,,,,,,,,0.24(12),R
,,118,252 d,,6+,3.589(4),,,
,,,,,,+3.607(4),,,
,,,,,,,,+1.44(10),R
,,119,37 ns,,3+,+3.77(3),,,
47 Ag 111,,0,7.45 d,,1/2-,-0.146(2),,,
47 Ag 112,,0,3.14 h,,2-,0.0547(5),,,
47 Ag 113,,0,5.37 h,,1/2-,0.159(2),,,
48 Cd 100,,2548,73 ns,,8+,9.9(5),,,
48 Cd 102,,2718,56 ns,,8+,10.3(2),,,
,,,,,,,,0.76(9),R
,,,,,,,,0.87(10),
48 Cd 103,,0,7.3 m,,5/2+,-0.81(3),,,
,,,,,,,,-0.7(6),R
,,,,,,,,-0.8(7),R
48 Cd 105,,0,56 m,,5/2+,-0.7393(2),,,
,,,,,,,,+0.37(4),R
,,,,,,,,+0.43(4),R
,,2517,4.5 s,,21/2+,+9.17(6),,,
,,,,,,,,+1.02(10),R
,,,,,,,,+1.17(12),
48 Cd 106,,633,7.3 ps,,2+,+0.79(6),,,
,,,,,,+0.8(2),,,
,,,,,,,,-0.28(8),R
,,4660,62 ns,,12+,+8.9(2),,,
48 Cd 107,,0,6.50 h,,5/2+,-0.6150554(11),,,
,,,,,,-0.6151(2),,,
,,,,,,,,+0.60(2),R
,,,,,,,,+0.68(7),
,,846,70 ns,,11/2-,-1.041(11),,,
,,,,,,-1.11(2),,,
,,,,,,,,-0.94(10),R
,,2679,56 ns,,21/2+,+9.10(10),,,
,,,,,,,,+1.05(11),R
,,,,,,,,+1.21(13),
48 Cd 108,,633,6.8 ps,,2+,+0.78(6),,,
,,,,,,+0.7(2),,,
,,,,,,,,-0.45(8),R
48 Cd 109,,0,453 d,,5/2+,-0.8278461(15),,,
,,,,,,,,+0.60(3),R
,,,,,,,,+0.69(7),
,,463,10.9 s,,11/2-,-1.096(2),,,
,,,,,,,,-0.92(9),
48 Cd 110,,658,5.0 ps,,2+,+0.81(6),,,
,,,,,,+0.57(11),,,
,,,,,,+0.56(10),,,
,,,,,,0.62(14),,,
,,,,,,,,-0.40(4),R
,,,,,,,,-0.39(6),
,,,,,,,,-0.36(8),
,,3611,550 ps,,10+,-0.9(3),,,
48 Cd 111,,0,stable,,1/2+,-0.5948861(8),,,
,,,,,,0.595543(2),,,
,,245,84 ns,,5/2+,-0.766(3),,,
,,,,,,,,+0.77(12) st,
,,,,,,,,+0.80(10),
,,,,,,,,+0.83(13),
,,,,,,,,+0.74(8),
,,342,27 ps,,3/2+,0.0(12),,,
,,396,48.6 m,,11/2-,-1.1052(3),,,
,,,,,,-1.1051(4),,,
,,,,,,,,-0.75(3),R
,,,,,,,,-0.85(9),
,,620,10 ps,,5/2+,+0.28(12),,,
48 Cd 112,,617,6.2 ps,,2+,+0.72(5),,,
,,,,,,+0.6(2),,,
,,,,,,0.72(12),,,
,,,,,,,,-0.37(4),R
,,,,,,,,-0.39(8),
,,,,,,,,-0.39(11),
48 Cd 113,,0,9x10*15 y,,1/2+,-0.6223009(9),,,
,,,,,,-0.6224(2),,,
,,264,14 y,,11/2-,-1.087784(2),,,
,,,,,,-1.0883(3),,,
,,,,,,,,-0.61(3),R
,,,,,,,,-0.71(7),
,,298,32 ps,,3/2+,-0.4(8),,,
,,584,9 ps,,5/2+,+0.15(12),,,
48 Cd 114,,558,9.0 ps,,2+,+0.65(4),,,
,,,,,,+0.58(14),,,
,,,,,,0.60(8),,,
,,,,,,,,-0.35(5),
,,,,,,,,-0.348(12),R
,,,,,,,,-0.38(4),
,,,,,,,,-0.34(3),
48 Cd 115,,0,53.4 h,,1/2+,-0.6484259(12),,,
,,,,,,-0.6483(2),,,
,,173,44.8 d,,11/2-,-1.0410343(15),,,
,,,,,,,,-0.48(2),R
,,,,,,,,-0.54(5),
48 Cd 116,,514,15 ps,,2+,+0.59(5),,,
,,,,,,+0.60(14),,,
,,,,,,,,-0.42(4),R
,,,,,,,,-0.42(8),
,,,,,,,,-0.64(12) or -0.46(12),
48 Cd 117,,0,2.49 h,,1/2+,-0.7436(2),,,
,,136,3.36 h,,11/2-,-0.9975(4),,,
,,,,,,,,-0.320(13),R
48 Cd 119,,0,2.69 m,,1/2+,-0.9201(2),,,
,,147,2.20 m,,11/2-,-0.9642(3),,,
,,,,,,,,-0.135(6),R
48 Cd 121,,0,13.5 s,,3/2+,+0.6269(7),,,
,,,,,,,,-0.274(13),R
,,215,8.3 s,,11/2-,-1.0100(4),,,
,,,,,,,,+0.009(6),R
48 Cd 123,,0,2.10 s,,3/2+,+0.7896(6),,,
,,,,,,,,+0.042(5),R
,,317,1.82 s,,11/2-,-1.0015(3),,,
,,,,,,,,+0.135(7),R
48 Cd 125,,0,0.68 s,,3/2+,+0.8603(6),,,
,,,,,,,,+0.209(10),R
,,x,0.48 s,,11/2-,-0.9347(2),,,
,,,,,,,,+0.269(13),R
48 Cd 127,,0,0.37 s,,3/2+,+0.8783(7),,,
,,,,,,,,+0.239(11),R
,,x,-,,11/2-,-0.8702(3),,,
,,,,,,,,+0.34(2),R
48 Cd 129,,0,0.27 s,,3/2+,+0.8481(8),,,
,,,,,,,,+0.132(9),R
,,x,-,,11/2-,-0.7063(5),,,
,,,,,,,,+0.57(3),R
49 In 104,,0,1.7 m,,5+,+4.44(2),,,
,,,,,,,,+0.63(10),R
,,,,,,,,+0.66(11) st,
49 In 105,,0,5.07 m,,9/2+,+5.675(5),,,
,,,,,,4.8(4),,,
,,,,,,,,+0.79(5),R
,,,,,,,,+0.83(5) st,
49 In 106,,0,6.2 m,,7+,+4.916(7),,,
,,,,,,4.921(13),,,
,,,,,,4.87(15),,,
,,,,,,,,+0.92(6),R
,,,,,,,,+0.97(6) st,
49 In 107,,0,32.4 min,,9/2+,+5.585(8),,,
,,,,,,5.6(5),,,
,,,,,,,,+0.77(5),R
,,,,,,,,+0.81(5) st,
49 In 108,,0,58 m,,7+,+4.561(3),,,
,,,,,,4.557(7),,,
,,,,,,4.53(10),,,
,,,,,,,,+0.955(7),R
,,,,,,,,+1.005(7) st,
,,29,40 m,,2+,+4.935(5),,,
,,,,,,,,+0.444(14),R
,,,,,,,,+0.467(14),
49 In 109,,0,4.2 h,,9/2+,+5.538(4),,,
,,,,,,+5.538(11),,,
,,,,,,,,+0.80(3),R
,,,,,,,,+0.84(3) st,
49 In 110,,0*,69.1 m,,2+,+4.365(4),,,
,,,,,,,,+0.32(2),R
,,,,,,,,+0.35(2) st,
,,0*,4.9 h,,7+,+4.713(8),,,
,,,,,,4.719(13),,,
,,,,,,,,+0.95(2),R
,,,,,,,,+1.00(2),
49 In 111,,0,2.83 d,,9/2+,+5.503(7),,,
,,,,,,5.499(7),,,
,,,,,,+5.504(10),,,
,,,,,,+5.48(10),,,
,,,,,,,,+0.76(2),R
,,,,,,,,+0.80(2),
,,2717,14.8 ns,,21/2+,+5.3(2),,,
,,,,,,+4.9(2),,,
49 In 112,,0*,14.4 m,,1+,+2.82(3),,,
,,,,,,,,+0.082(5),R
,,,,,,,,+0.087(5),
,,157,20.9 m,,4+,+5.227(4),,,
,,,,,,,,+0.679(10),R
,,,,,,,,+0.714(10),
,,351,0.69 s,,7+,+4.73(4),,,
,,,,,,,,1.00(3),R
,,,,,,,,1.03(3),
,,614,2.82 s,,8-,+3.08(3),,,
,,,,,,,,0.092(3),R
,,,,,,,,0.095(3),
,,,,,,,,0.086(3) st,
49 In 113,,0,stable,,9/2+,+5.5289(2),,,
,,,,,,,,0.759(8),R
,,,,,,,,+0.80(4) st,
,,392,99.5 m,,1/2-,-0.21074(2),,,
49 In 114,,0,71.9 s,,1+,2.817(11),,,
,,190,49.5 d,,5+,+4.653(5),,,
,,,,,,4.658(7),,,
,,,,,,4.66(3),,,
,,,,,,+4.72(10),,,
,,,,,,,,+0.703(11),R
,,,,,,,,+0.739(12) st,
49 In 115,,0,4.4e14 y,,9/2+,+5.5408(2),,,
,,,,,,,,+0.770(8),R
,,,,,,,,+0.81(5) st,
,,,,,,,,0.8(2) st,
,,,,,,,,0.83(10) a,
,,,,,,,,0.58(9) a,
,,336,4.49 h,,1/2-,-0.24398(5),,,
,,829,5.78 ns,,3/2+,+0.74(13),,,
,,,,,,,,-0.59(4),R
,,,,,,,,-0.60(2) st,
49 In 116,,0,14.1 s,,1+,2.7876(6),,,
,,,,,,,,0.11(1),R
,,,,,,,,0.09(2),
,,127,54.2 m,,5+,+4.435(15),,,
,,,,,,,,+0.762(11),R
,,,,,,,,+0.802(12) st,
,,290,2.18 s,,8-,+3.215(11),,,
,,,,,,,,+0.295(9),R
,,,,,,,,+0.310(9) st,
49 In 117,,0,42 m,,9/2+,+5.519(4),,,
,,,,,,,,+0.788(10),R
,,,,,,,,+0.829(10) st,
,,315,1.93 h,,1/2-,-0.25174(3),,,
,,589,< 10 ps,,3/2-,> 0.84,,,
,,660,53.6 ns,,3/2+,+0.938(10),,,
,,,,,,+0.910(10),,,
,,,,,,,,-0.57(4),R
,,,,,,,,-0.59(1) st,
49 In 118,,~60,4.45 m,,5+,+4.231(9),,,
,,,,,,,,+0.757(8),R
,,,,,,,,+0.796(8) st,
,,~200,8.5 s,,8-,+3.321(11),,,
,,,,,,,,+0.419(7),R
,,,,,,,,+0.441(7) st,
49 In 119,,0,2.4 m,,9/2+,+5.515(10),,,
,,,,,,,,+0.812(7),R
,,,,,,,,+0.854(7) st,
,,315,18 m,,1/2-,-0.319(5),,,
,,654,130 ns,,3/2+,+0.53(3),,,
,,,,,,,,0.59(4),R
,,,,,,,,0.60(2),
49 In 120,,0 ,44.4 s,,5+,+4.295(5),,,
,,,,,,,,+0.770(16),R
,,,,,,,,+0.81(2) st,
,,0 ,47.3 s,,8-,+3.692(4),,,
,,,,,,,,+0.504(10),R
,,,,,,,,+0.530(10) st,
49 In 121,,0,23.1 s,,9/2+,+5.502(5),,,
,,,,,,,,+0.774(10),R
,,,,,,,,+0.814(11) st,
,,314,3.8 m,,1/2-,-0.355(4),,,
49 In 122,,0+x,9.2 s,,5+,+4.318(5),,,
,,,,,,,,+0.77(2),R
,,,,,,,,+0.81(2) st,
,,~220,10.5s,,8-,+3.781(6),,,
,,,,,,,,+0.56(2),R
,,,,,,,,+0.59(2) st,
49 In 123,,0,6.68 s,,9/2+,+5.491(7),,,
,,,,,,,,+0.720(9),R
,,,,,,,,+0.757(9) st,
,,327,45.9 s,,1/2-,-0.400(4),,,
49 In 124,,0,3.09 s,,3+,+4.043(11),,,
,,,,,,,,+0.58(7),R
,,,,,,,,+0.61(7) st,
,,190,3.7 s,,8-,+3.888(9),,,
,,,,,,,,+0.631(9),R
,,,,,,,,+0.664(9) st,
49 In 125,,0,2.50 s,,9/2+,+5.502(9),,,
,,,,,,,,+0.68(3),R
,,,,,,,,+0.71(4) st,
,,360,12.2 s,,1/2-,-0.433(4),,,
49 In 126,,0 ,1.60 s,,3+,+4.034(11),,,
,,,,,,,,+0.47(5),R
,,,,,,,,+0.49(5) st,
,,0 ,1.64 s,,8-,+4.061(4),,,
,,,,,,,,+0.649(11),R
,,,,,,,,+0.683(12),
49 In 127,,0,1.22 s,,9/2+,+5.522(8),,,
,,,,,,,,+0.56(3),R
,,,,,,,,+0.59(3) st,
50 Sn 108,,2365,7.3 ns,,6+,-0.24(12),,,
,,3561,71 ps,,8+,>0.8,,,
50 Sn 109,,0,18.0 m,,5/2+,-1.079(6),,,
,,,,,,,,+0.33(11),R
,,,,,,,,+0.31(10),
50 Sn 110,,2480,5.6 ns,,6+,+0.07(3),,,
,,,,,,,,0.30(4),R
,,,,,,,,0.34(4),
,,3767,1.15 ns,,8-,-2.4(12),,,
50 Sn 111,,0,35 m,,7/2+,+0.608(4),,,
,,,,,,+0.617(8),,,
,,,,,,,,+0.20(10),R
,,,,,,,,+0.18(9),
,,979,9.2 ns,,11/2-,-1.26(11),,,
50 Sn 112,,1257,0.35 ps,,2+,+0.21(7),,,
,,,,,,+0.7(3),,,
,,,,,,,,-0.09(10),R
,,2248,3.3 ps,,4+,+1.5(7),,,
,,2550,13.7 ns,,6+,+0.53(3),,,
,,,,,,+0.61(5),,,
,,,,,,+0.2(2),,,
,,,,,,,,-0.25(5),R
,,,,,,,,0.29(7),
50 Sn 113,,0,115 d,,1/2+,-0.8791(6),,,
,,739,82 ns,,11/2-,-1.30(2),,,
,,,,,,-1.29(2),,,
,,,,,,,,-0.41(4),R
,,,,,,,,0.48(5),
50 Sn 114,,1300,0.28 ps,,2+,+0.22(5),,,
,,2188,5.3 ps,,4+,+0.4(3),,,
,,2354,0.36 ps,,3-,-1.5(7),,,
,,3088,765 ns,,7-,-0.567(4),,,
,,,,,,,,-0.32(3),R
,,,,,,,,0.36(4),
50 Sn 115,,0,stable,,1/2+,-0.91883(7),,,
,,613,3.26 ps,,7/2+,+0.683(10),,,
,,,,,,,,-0.26(3),R
,,714,159 s,,11/2-,-1.378(11),,,
,,,,,,-1.369(4),,,
,,,,,,,,0.38(6),R
50 Sn 116,,1294,0.36 ps,,2+,+0.01(4),,,
,,,,,,-0.3(5),,,
,,,,,,-0.3(2),,,
,,,,,,,,-0.17(4),R
,,,,,,,,+0.08(8),
,,2266,0.33 ps,,3-,-0.0(7),,,
,,2366,370 ns,,5-,-0.376(3),,,
,,,,,,,,0.26(3),R
,,,,,,,,0.28(3),
,,3548,904 ns,,10+,-2.326(15),,,
,,,,,,,,[-0.41(4)],
50 Sn 117,,0,stable,,1/2+,-1.00104(7),,,
,,159,279 ps,,3/2+,+0.66(5),,,
,,315,13.6 d,,11/2-,-1.3955(10),,,
,,,,,,,,-0.42(5),R
50 Sn 118,,1230,0.46 ps,,2+,+0.34(20),,,
,,,,,,+0.04(20),,,
,,,,,,,,-0.14(10),
,,2321,21.7 ns,,5-,-0.30(3),,,
,,,,,,-0.34(4),,,
,,,,,,,,-0.22(3),
,,2575,217 ns,,7-,-0.689(4),,,
,,,,,,,,0.32(3),
,,3106,2.65 s,,10+,-2.447(7),,,
,,,,,,,,[0.41(4)],
50 Sn 119,,0,stable,,1/2+,-1.04728(7),,,
,,24,17.8 ns,,3/2+,+0.633(3),,,
,,,,,,+0.682(3),,,
,,,,,,,,-0.132(1),R
,,,,,,,,-0.112(7),
,,,,,,,,-0.105(2),
,,,,,,,,0.128(7),
,,,,,,,,-0.109(8),
,,,,,,,,0.094(11),
,,,,,,,,-0.065(5),
,,,,,,,,-0.061(3),
,,90,293.1 d,,11/2-,-1.40(8),,,
,,,,,,,,-0.29(3),R
50 Sn 120,,1171,0.64 ps,,2+,-0.18(14),,,
,,,,,,-0.28(14),,,
,,,,,,,,+0.02(7),R
,,,,,,,,-0.05(10),
,,2285,5.53 ns,,5-,-0.28(3),,,
,,,,,,-0.37(5),,,
,,,,,,,,0.046(2),R
50 Sn 121,,0,27.1 h,,3/2+,+0.6978(10),,,
,,,,,,,,-0.02(2),R
,,6.3,55 y,,11/2-,-1.3877(9),,,
,,,,,,,,-0.14(3),R
50 Sn 122,,1140,0.76 ps,,2+,-0.09(4),,,
,,,,,,-0.1(2),,,
,,,,,,,,-0.13(10),R
,,2142,1.6 ps,,4+,-0.7(7),,,
50 Sn 123,,0,129 d,,11/2-,-1.3700(9),,,
,,,,,,,,+0.03(4),R
50 Sn 124,,1132,0.93 ps,,2+,-0.21(3),,,
,,,,,,-0.13(3),,,
,,,,,,-0.3(2),,,
,,,,,,,,+0.03(13),R
,,,,,,,,0.0(2),
50 Sn 125,,0,9.62 d,,11/2-,-1.348(2),,,
,,,,,,-1.348(6),,,
,,,,,,,,+0.2(2),R
,,,,,,,,+0.1(2),
,,28,9.5 m,,3/2+,+0.764(3),,,
,,,,,,,,+0.86(8),R
50 Sn 126,,1141,1.15 ps,,2+,-0.24(6),,,
,,,,,,-0.5(4),,,
,,,,,,,,0.0(2),R
,,2219,5.9 ms,,7-,-0.69(6),,,
50 Sn 127,,0,2.1 h,,11/2-,-1.329(7),,,
,,,,,,,,+0.32(14),R
,,5,4.13 m,,3/2+,+0.757(4),,,
,,,,,,,,+0.65(7),R
,,1827,4.5 s,,(19/2),-1.6(2),,,
50 Sn 128,,1169,1.6 ps,,2+,-0.46(12),,,
,,2492,2.7 s,,10+,-2.0(4),,,
,,,,,,,,-0.1(3),R
50 Sn 129,,0,2.23 m,,3/2+,+0.754(3),,,
,,,,,,,,+0.05(11),R
,,35,6.9 m,,11/2-,-1.297(5),,,
,,,,,,,,-0.2(2),R
50 Sn 130,,1947,1.7 m,,7-,-0.381(3),,,
,,,,,,,,-0.39(12),R
50 Sn 131,,0,56 s,,3/2+,+0.747(4),,,
,,,,,,,,-0.04(9),R
,,242,58.4 s,,11/2-,-1.276(5),,,
,,,,,,,,0.0(2),R
51 Sb 112,,796,536 ns,,8-,+2.192(8),,,
,,,,,,,,1.06(2),R
,,,,,,,,0.71(7) st,
51 Sb 114,,0,3.49 m,,3+,1.72(8),,,
,,496,219 s,,8-,+2.265(5),,,
,,,,,,,,1.02(6),R
,,,,,,,,0.66(11) st,
51 Sb 115,,0,31.8 m,,5/2+,+3.46(1),,,
,,1300,8.4 ns,,11/2-,+5.53(8),,,
,,,,,,+5.8(6),,,
,,,,,,+5.3(6),,,
,,2796,152 ns,,19/2-,+2.54(4),,,
,,,,,,+2.73(4),,,
,,,,,,+2.76(5),,,
,,,,,,+2.68(6),,,
,,,,,,,,0.79(4),R
,,,,,,,,0.52(6) st,
,,,,,,,,0.49(14) st,
51 Sb 116,,0,16 m,,3+,2.715(9),,,
,,94,194 ns,,1+,+2.47(9),,,
,,383,60.3 m,,8+,2.59(22),,,
,,1844,11.9 ns,,7+,+4.69(10),,,
,,,,,,,,2.5(6),R
,,,,,,,,1.7(4),
51 Sb 117,,0,2.80 h,,5/2+,+3.43(6),,,
,,,,,,,,0.2(12),
,,1323,3.8 ns,,11/2-,+5.35(9),,,
,,,,,,+5.6(4),,,
,,3131,340 s,,(25/2)+,+1.500(9),,,
,,,,,,,,1.14(5),R
,,,,,,,,0.75(9) st,
,,3231,290 ns,,23/2-,+5.03(6),,,
,,,,,,,,3.7(4),R
,,,,,,,,2.5(3) st,
51 Sb 118,,0,3.6 m,,1+,2.47(7),,,
,,51,20.6 s,,(3)+,+2.63(5),,,
,,,,,,,,0.9(2),R
,,,,,,,,0.57(14) st,
,,212,5.0 h,,8-,2.32(4),,,
,,270,13.4 ns,,3-,-3.76(9),,,
,,,,,,,,0.39(8),R
,,,,,,,,0.25(5) st,
,,927,22.8 ns,,7+,+4.76(13),,,
,,,,,,,,2.6(5),R
,,,,,,,,1.8(3) st,
51 Sb 119,,0,38.0 h,,5/2+,+3.45(1),,,
,,2554,128 ns,,19/2-,+3.14(6),,,
,,,,,,,,3.18(10),R
,,,,,,,,2.1(2),
51 Sb 120,,*0*,15.9 m,,1+,2.3(2),,,
,,*0*,5.76 d,,8-,2.34(1),,,
,,78,247 ns,,3+,+2.584(6),,,
,,,,,,,,0.63(2),R
,,,,,,,,0.41(4) st,
51 Sb 121,,0,stable,,5/2+,+3.3634(3),,,
,,,,,,,,-0.543(11),R
,,,,,,,,-0.36(4) st,
,,,,,,,,-0.45(3) st,
,,37,3.5 ns,,7/2+,+2.518(7),,,
,,,,,,,,-0.727(16),R
,,,,,,,,-0.48(5) st,
51 Sb 122,,0,2.68 d,,2-,-1.90(2),,,
,,,,,,,,+1.28(8),R
,,,,,,,,+0.85(11) st,
,,,,,,,,+0.9(2),
,,61,1.86 s,,3+,+2.983(12),,,
,,,,,,,,+0.63(2),R
,,,,,,,,+0.41(4) st,
,,137,530 s,,5+,+3.05(10),,,
51 Sb 123,,0,stable,,7/2+,+2.5498(2),,,
,,,,,,,,-0.692(14),R
,,,,,,,,-0.49(5) st,
51 Sb 124,,0,60.2 d,,3-,1.20(2),,,
,,,,,,,,+2.8(2),R
,,,,,,,,+1.9(4) st,
,,41,3.2 s,,3+,+2.97(3),,,
,,125,86 ns,,6-,+0.384(12),,,
51 Sb 125,,0,2.7 y,,7/2+,+2.63(4),,,
51 Sb 126,,0,12.4 d,,(8)-,1.28(7),,,
51 Sb 127,,0,3.84 d,,7/2+,2.697(6),,,
,,,,,,2.59(12),,,
51 Sb 128,,0,9.1 h,,8-,1.3(2),,,
51 Sb 129,,0,4.4 h,,7/2+,2.79(2),,,
51 Sb 131,,0,23 m,,7/2+,2.89(1),,,
51 Sb 133,,0,2.5 m,,7/2+,3.00(1),,,
52 Te 115,,280,7.5 s,,11/2-,-0.954(5),,,
,,,,,,-1.02(4),,,
52 Te 117,,274,19.1 ns,,5/2+,-0.787(12),,,
,,,,,,-0.75(5),,,
52 Te 119,,0,16.1 h,,1/2+,0.25(5),,,
,,300,4.68 d,,11/2-,0.894(6),,,
,,320,2.2 ns,,5/2+,-0.9(2),,,
52 Te 120,,560,9.3 ps,,2+,+0.78(14),,,
,,,,,,+0.58(6),,,
52 Te 121,,294,154 d,,11/2-,0.895(10),,,
,,443,83.5 ns,,7/2+,+0.738(10),,,
,,,,,,+0.774(11),,,
,,,,,,+0.63(7),,,
52 Te 122,,564,7.52 ps,,2+,+0.72(9),,,
,,,,,,+0.66(4),,,
,,,,,,+0.68(4),,,
,,,,,,+0.72(4),,,
,,,,,,+0.66(6),,,
,,,,,,+0.56(10),,,
,,,,,,,,-0.57(5),R
,,,,,,,,-0.50(5),
52 Te 123,,0,>1x10*15 y,,1/2+,-0.7369478(8),,,
,,159,0.2 ns,,3/2+,0.72(12),,,
,,247,119.7 d,,11/2-,-0.927(8),,,
,,440,27 ps,,3/2+,+0.5(2),,,
,,,,,,+0.51(9),,,
,,489,30.7 ns,,7/2+,+0.787(14),,,
,,506,18 ps,,5/2+,+0.1(2),,,
,,,,,,+0.10(6),,,
52 Te 124,,603,6.25 ps,,2+,+0.74(6),,,
,,,,,,+0.56(6),,,
,,,,,,+0.66(6),,,
,,,,,,+0.62(8),,,
,,,,,,+0.52(6),,,
,,,,,,,,-0.45(5),R
52 Te 125,,0,stable,,1/2+,-0.8885051(4),,,
,,,,,,-0.8884509(10),,,
,,36,1.48 ns,,3/2+,+0.605(4),,,
,,,,,,,,-0.31(2),R
,,145,58 d,,11/2-,-0.985(6),,,
,,,,,,,,0.0(2),R
,,,,,,,,-0.06(2),
,,321,695 ps,,9/2-,-0.92(3),,,
,,,,,,,,"0.12(+5,-9)",R
,,443,19 ps,,3/2+,+0.93(9),,,
,,,,,,+1.0(3),,,
,,,,,,+0.7(2),,,
,,,,,,+0.59(9),,,
,,463,13 ps,,5/2+,+0.50(6),,,
,,,,,,+0.9(2),,,
,,,,,,+0.50(12),,,
,,,,,,+0.8(2),,,
,,526,<160 ps,,7/2-,<0,,,
,,672,1.3 ps,,5/2+,-0.1(7),,,
,,,,,,-0.6(7),,,
52 Te 126,,666,4.41 ps,,2+,+0.67(3),,,
,,,,,,+0.62(8),,,
,,,,,,+0.68(6),,,
,,,,,,+0.38(6),,,
,,,,,,,,-0.23(5),R
,,,,,,,,-0.20(9),
,,2975,10.6 ns,,10+,-1.52(9),,,
52 Te 127,,0,9.4 h,,3/2+,0.635(4),,,
,,88,109 d,,11/2-,-1.041(6),,,
,,,,,,,,+0.17(12),R
,,341,411 ps,,9/2-,-0.96(6),,,
,,,,,,-0.98(15),,,
52 Te 128,,743,3.2 ps,,2+,+0.63(3),,,
,,,,,,+0.50(6),,,
,,,,,,+0.70(8),,,
,,,,,,+0.62(8),,,
,,,,,,,,-0.22(5),R
,,,,,,,,-0.06(5),
,,,,,,,,-0.14(12),
52 Te 129,,0,69.5 m,,3/2+,0.702(4),,,
,,,,,,,,0.055(13),R
,,106,33.5 d,,11/2-,-1.091(7),,,
,,,,,,-1.10(3),,,
,,,,,,,,+0.40(3),R
52 Te 130,,840,2.3 ps,,2+,+0.70(4),,,
,,,,,,+0.58(10),,,
,,,,,,+0.66(16),,,
,,,,,,+0.58(12),,,
,,,,,,,,-0.12(5),
52 Te 131,,0,25 m,,3/2+,0.696(9),,,
,,182,30 h,,11/2-,-1.04(4),,,
,,,,,,-1.123(7),,,
,,,,,,-1.20(14),,,
,,,,,,,,+0.25(14),R
52 Te 132,,974,1.8 ps,,2+,+0.6(3),,,
,,,,,,+0.70(10),,,
,,1775,145 ns,,6+,+4.7(5),,,
52 Te 133,,0,12.5 m,,3/2+,+0.85(2),,,
,,,,,,,,+0.23(9),R
,,334,55.4 m,,11/2-,- 1.129(7),,,
,,,,,,1.15(9),,,
,,,,,,,,+0.28(14),R
52 Te 134,,1576,1.96(6) ns,,4+,3(2),,,
,,1691,163 ns,,6+,+5.08(15),,,
52 Te 135,,0,19 s,,7/2-,-0.69(5),,,
,,,,,,,,+0.29(9),R
,,1555,510 ns,,19/2-,-3.8(4),,,
53 I 117,,0,2.22 m,,(5/2)+,3.1(2),,,
53 I 118,,0,13.7 m,,2-,2.0(2),,,
,,104,8.5 m,,(7-),4.2(2),,,
53 I 119,,0,19 m,,5/2+,+2.9(1),,,
,,307,35 ns,,9/2+,+5.40(14),,,
,,,,,,+5.5(4),,,
53 I 120,,0,1.4 h,,2-,1.23(3),,,
,,~930,53 m,,(7-),4.2(2),,,
53 I 121,,0,2.1 h,,5/2-,2.3(1),,,
,,2353,80 ns,,(21/2+),+12.6(11),,,
53 I 122,,0,3.63 m,,1+,0.94(3),,,
53 I 123,,0,13.3 h,,5/2+,2.818(7),,,
,,2660,29 ns,,21/2+,+10.9(9),,,
53 I 124,,0,4.18 d,,2-,1.446(4),,,
53 I 125,,0,60.2 d,,5/2+,2.821(5),,,
,,,,,,,,-0.761(17),R
,,,,,,,,-0.776(17),
,,188,0.35 ns,,3/2+,+1.06(7),,,
53 I 126,,0,13.1 d,,2-,1.438(4),,,
,,111,56 ns,,unknown,-2.24(2),,,
53 I 127,,0,stable,,5/2+,+2.81327(8),,,
,,,,,,,,-0.696(12),R
,,,,,,,,0.72(2),
,,,,,,,,-0.710(10),
,,,,,,,,-0.689(15),
,,,,,,,,-0.789 e,
,,58,1.95 ns,,7/2+,+2.54(5),,,
,,,,,,,,-0.624(11),R
,,,,,,,,-0.636(9),
,,,,,,,,-0.60(3),
,,,,,,,,-0.62(2),
,,203,0.388ns,,3/2+,+0.97(7),,,
53 I 128,,138,845 ns,,4-,-0.72(3),,,
53 I 129,,0,1.6x10*7 y,,7/2+,+2.6210(3),,,
,,,,,,,,-0.488(8),R
,,,,,,,,-0.498(7),
,,,,,,,,-0.482(10),
,,28,16.8 ns,,5/2+,+2.805(3),,,
,,,,,,,,-0.604(10),R
,,,,,,,,-0.616(9),
,,,,,,,,-0.598(13),
,,,,,,,,-0.42(2),
